Accession	Gene_name	Organism	Function	Subcellular_location	Length
P36112	MIC60	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Component of the MICOS complex, a large protein complex of the mitochondrial inner membrane that plays crucial roles in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane. Plays a role in keeping cristae membranes connected to the inner boundary membrane. Also promotes protein import via the mitochondrial intermembrane space assembly (MIA) pathway	Mitochondrion inner membrane	540
P38825	TOM71	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Involved in MBF1-mediated mitochondrial morphogenesis	Mitochondrion outer membrane	639
P41800	MMM1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Component of the ERMES/MDM complex, which serves as a molecular tether to connect the endoplasmic reticulum and mitochondria (PubMed:19556461). Components of this complex are involved in the control of mitochondrial shape and protein biogenesis, and function in nonvesicular lipid trafficking between the ER and mitochondria (PubMed:27469264, PubMed:8089172, PubMed:9628893). The MDM12-MMM1 subcomplex functions in the major beta-barrel assembly pathway that is responsible for biogenesis of all outer membrane beta-barrel proteins, and acts in a late step after the SAM complex. The MDM10-MDM12-MMM1 subcomplex further acts in the TOM40-specific pathway after the action of the MDM12-MMM1 complex (PubMed:17410204). Essential for establishing and maintaining the structure of mitochondria and maintenance of mtDNA nucleoids (PubMed:11266455, PubMed:12454062, PubMed:14981098)	Endoplasmic reticulum membrane	426
P45879	VDAC1	Bos taurus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. The channel at the outer mitochondrial membrane allows diffusion of small hydrophilic molecules; in the plasma membrane it is involved in cell volume regulation and apoptosis. It adopts an open conformation at low or zero membrane potential and a closed conformation at potentials above 30-40 mV. The open state has a weak anion selectivity whereas the closed state is cation-selective. Binds various signaling molecules, including the sphingolipid ceramide, the phospholipid phosphatidylcholine, and the sterols cholesterol and oxysterol. In depolarized mitochondria, acts downstream of PRKN and PINK1 to promote mitophagy or prevent apoptosis; polyubiquitination by PRKN promotes mitophagy, while monoubiquitination by PRKN decreases mitochondrial calcium influx which ultimately inhibits apoptosis. May participate in the formation of the permeability transition pore complex (PTPC) responsible for the release of mitochondrial products that triggers apoptosis. May mediate ATP export from cells (By similarity). Part of a complex composed of HSPA9, ITPR1 and VDAC1 that regulates mitochondrial calcium-dependent apoptosis by facilitating calcium transport from the ER lumen to the mitochondria intermembrane space thus providing calcium for the downstream calcium channel MCU that directly releases it into mitochondria matrix (By similarity). Mediates cytochrome c efflux (By similarity)	Mitochondrion outer membrane	283
P45880	VDAC2	Homo sapiens	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane (PubMed:8420959). The channel adopts an open conformation at zero mV and a closed conformation at both positive and negative potentials (PubMed:8420959). There are two populations of channels; the main that functions in a lower open-state conductance with lower ion selectivity, that switch, in a voltage-dependent manner, from the open to a low-conducting 'closed' state and the other that has a normal ion selectivity in the typical high conductance, 'open' state (PubMed:8420959). Binds various lipids, including the sphingolipid ceramide, the phospholipid phosphatidylcholine, and the sterols cholesterol and oxysterol (PubMed:31015432). Binding of ceramide promotes the mitochondrial outer membrane permeabilization (MOMP) apoptotic pathway (PubMed:31015432)	Mitochondrion outer membrane	294
P49334	TOM22	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Central component of the TOM (translocase of outer membrane) receptor complex responsible for the recognition and translocation of cytosolically synthesized mitochondrial preproteins. Together with TOM20 and TOM70 functions as the transit peptide receptor at the surface of the mitochondrion outer membrane and facilitates the movement of preproteins into the TOM40 translocation pore. Docks TOM20 and TOM70 for interaction with the general TOM40 import pore (GIP) complex. May regulate the TOM machinery organization, stability and channel gating	Mitochondrion outer membrane	152
P51572	BCAP31	Homo sapiens	Functions as a chaperone protein (PubMed:18287538, PubMed:9396746). Is one of the most abundant endoplasmic reticulum (ER) proteins (PubMed:18287538, PubMed:9396746). Plays a role in the export of secreted proteins in the ER, the recognition of abnormally folded protein and their targeting to the ER associated-degradation (ERAD) (PubMed:18287538, PubMed:9396746). Also serves as a cargo receptor for the export of transmembrane proteins (By similarity). Plays a role in the assembly of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) by stimulating the translocation of NDUFS4 and NDUFB11 from the cytosol to the mitochondria via interaction with TOMM40 (PubMed:31206022). In response to ER stress, delocalizes from the ER-mitochondria contact sites and binds BCL2 (PubMed:31206022). May be involved in CASP8-mediated apoptosis (PubMed:10958671)	Endoplasmic reticulum membrane	246
P53507	TOM7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Component of the TOM (translocase of outer membrane) receptor complex responsible for the recognition and translocation of cytosolically synthesized mitochondrial preproteins. TOM7 is involved in assembly and stability of the TOM complex	Mitochondrion outer membrane	60
P53969	SAM50	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Component of the mitochondrial outer membrane sorting assembly machinery (SAM or TOB) complex, which is required for the sorting of proteins with complicated topology, such as beta-barrel proteins, to the mitochondrial outer membrane after import by the TOM complex	Mitochondrion outer membrane	484
P68002	VDAC2	Bos taurus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane (By similarity). The channel adopts an open conformation at zero mV and a closed conformation at both positive and negative potentials (By similarity). There are two populations of channels; the main that functions in a lower open-state conductance with lower ion selectivity, that switch, in a voltage-dependent manner, from the open to a low-conducting 'closed' state and the other that has a normal ion selectivity in the typical high conductance, 'open' state (By similarity). Binds various lipids, including the sphingolipid ceramide, the phospholipid phosphatidylcholine, and the sterols cholesterol and oxysterol (By similarity). Binding of ceramide promotes the mitochondrial outer membrane permeabilization (MOMP) apoptotic pathway (By similarity)	Mitochondrion outer membrane	294
P68003	VDAC2	Oryctolagus cuniculus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane (By similarity). The channel adopts an open conformation at zero mV and a closed conformation at both positive and negative potentials (By similarity). There are two populations of channels; the main that functions in a lower open-state conductance with lower ion selectivity, that switch, in a voltage-dependent manner, from the open to a low-conducting 'closed' state and the other that has a normal ion selectivity in the typical high conductance, 'open' state (By similarity). Binds various lipids, including the sphingolipid ceramide, the phospholipid phosphatidylcholine, and the sterols cholesterol and oxysterol (By similarity). Binding of ceramide promotes the mitochondrial outer membrane permeabilization (MOMP) apoptotic pathway (By similarity)	Mitochondrion outer membrane	294
P80967	TOM5	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Component of the TOM (translocase of outer membrane) receptor complex responsible for the recognition and translocation of cytosolically synthesized mitochondrial preproteins. TOM5 is involved in insertion of preproteins into the TOM40 translocation pore	Mitochondrion outer membrane	50
P81155	Vdac2	Rattus norvegicus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane (By similarity). The channel adopts an open conformation at zero mV and a closed conformation at both positive and negative potentials (By similarity). There are two populations of channels; the main that functions in a lower open-state conductance with lower ion selectivity, that switch, in a voltage-dependent manner, from the open to a low-conducting 'closed' state and the other that has a normal ion selectivity in the typical high conductance, 'open' state (By similarity). Binds various lipids, including the sphingolipid ceramide, the phospholipid phosphatidylcholine, and the sterols cholesterol and oxysterol (By similarity). Binding of ceramide promotes the mitochondrial outer membrane permeabilization (MOMP) apoptotic pathway (By similarity)	Mitochondrion outer membrane	295
P82013	VDAC2	Meleagris gallopavo	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane (By similarity). The channel adopts an open conformation at zero mV and a closed conformation at both positive and negative potentials (By similarity). There are two populations of channels; the main that functions in a lower open-state conductance with lower ion selectivity, that switch, in a voltage-dependent manner, from the open to a low-conducting 'closed' state and the other that has a normal ion selectivity in the typical high conductance, 'open' state (By similarity). Binds various lipids, including the sphingolipid ceramide, the phospholipid phosphatidylcholine, and the sterols cholesterol and oxysterol (By similarity). Binding of ceramide promotes the mitochondrial outer membrane permeabilization (MOMP) apoptotic pathway (By similarity)	Mitochondrion outer membrane	296
